名称,经度,纬度,所属区县,行政区划代码,级别
达州市烟草专卖局,107.520835,31.199073,达州市,,warehouse
四合镇,107.255518,30.404623,大竹县,511724,street
清水镇,107.130434,30.677090,大竹县,511724,street
乌木镇,107.267710,30.710460,大竹县,511724,street
杨通乡,107.296836,30.467521,大竹县,511724,street
柏林镇,107.247716,30.950120,大竹县,511724,street
欧家镇,107.061555,30.516417,大竹县,511724,street
月华镇,107.295600,30.801890,大竹县,511724,street
团坝镇,107.261889,30.661494,大竹县,511724,street
高穴镇,107.189827,30.608337,大竹县,511724,street
朝阳乡,107.306799,30.758652,大竹县,511724,street
童家镇,107.297040,30.536281,大竹县,511724,street
竹阳街道,107.206351,30.733409,大竹县,511724,street
中华镇,107.177017,30.769182,大竹县,511724,street
白塔街道,107.203099,30.743503,大竹县,511724,street
东柳街道,107.244201,30.739638,大竹县,511724,street
杨家镇,107.227283,30.850127,大竹县,511724,street
清河镇,107.236498,30.904850,大竹县,511724,street
周家镇,107.363174,30.612327,大竹县,511724,street
川主乡,107.192395,30.664378,大竹县,511724,street
文星镇,107.249910,30.503279,大竹县,511724,street
石河镇,107.329964,30.870872,大竹县,511724,street
妈妈镇,107.148174,30.564627,大竹县,511724,street
高明镇,107.347334,30.546790,大竹县,511724,street
八渡乡,107.403385,30.579614,大竹县,511724,street
永胜镇,107.457577,30.818119,大竹县,511724,street
安吉乡,107.500726,30.907112,大竹县,511724,street
石子镇,107.300758,30.436770,大竹县,511724,street
天城镇,107.341415,30.499131,大竹县,511724,street
观音镇,107.448256,30.673839,大竹县,511724,street
石桥铺镇,107.437678,30.770228,大竹县,511724,street
庙坝镇,107.102218,30.600076,大竹县,511724,street
景市镇,107.552492,31.012362,达川区,511703,street
石板街道,107.474416,31.074802,达川区,511703,street
堡子镇,107.303139,31.344459,达川区,511703,street
虎让乡,107.209351,31.341803,达川区,511703,street
米城乡,107.332687,31.279995,达川区,511703,street
福善镇,107.584937,31.047483,达川区,511703,street
杨柳街道,107.505873,31.182242,达川区,511703,street
桥湾镇,107.202620,31.261140,达川区,511703,street
