名称,经度,纬度,所属区县,行政区划代码,级别
达州市烟草专卖局,107.520835,31.199073,达州市,,warehouse
四合镇,107.230050,30.352939,大竹县,511724,street
清水镇,107.060210,30.699023,大竹县,511724,street
乌木镇,107.288490,30.752639,大竹县,511724,street
杨通乡,107.255065,30.465968,大竹县,511724,street
柏林镇,107.264315,31.004171,大竹县,511724,street
欧家镇,107.037438,30.515616,大竹县,511724,street
月华镇,107.260295,30.795165,大竹县,511724,street
团坝镇,107.224501,30.644776,大竹县,511724,street
高穴镇,107.131577,30.601687,大竹县,511724,street
朝阳乡,107.265401,30.758556,大竹县,511724,street
童家镇,107.280719,30.570757,大竹县,511724,street
竹阳街道,107.213109,30.745910,大竹县,511724,street
中华镇,107.106581,30.807546,大竹县,511724,street
白塔街道,107.228118,30.761322,大竹县,511724,street
东柳街道,107.266208,30.745870,大竹县,511724,street
杨家镇,107.172932,30.893177,大竹县,511724,street
清河镇,107.249837,30.931326,大竹县,511724,street
周家镇,107.311967,30.688333,大竹县,511724,street
川主乡,107.223300,30.641231,大竹县,511724,street
文星镇,107.204254,30.524316,大竹县,511724,street
石河镇,107.403462,30.915974,大竹县,511724,street
妈妈镇,107.212332,30.566398,大竹县,511724,street
高明镇,107.333695,30.581714,大竹县,511724,street
八渡乡,107.453028,30.569785,大竹县,511724,street
永胜镇,107.492417,30.814784,大竹县,511724,street
安吉乡,107.542069,30.886804,大竹县,511724,street
石子镇,107.295943,30.449838,大竹县,511724,street
天城镇,107.378995,30.480314,大竹县,511724,street
观音镇,107.342866,30.673865,大竹县,511724,street
石桥铺镇,107.382349,30.812990,大竹县,511724,street
庙坝镇,107.113269,30.558128,大竹县,511724,street
景市镇,107.495955,30.964966,达川区,511703,street
石板街道,107.470535,31.099912,达川区,511703,street
堡子镇,107.323829,31.327326,达川区,511703,street
虎让乡,107.220505,31.375416,达川区,511703,street
米城乡,107.285544,31.285385,达川区,511703,street
福善镇,107.543411,31.056401,达川区,511703,street
杨柳街道,107.527664,31.144501,达川区,511703,street
桥湾镇,107.197306,31.319261,达川区,511703,street
平滩镇,107.475690,30.924986,达川区,511703,street
赵固镇,107.293068,31.282913,达川区,511703,street
三里坪街道,107.506076,31.202494,达川区,511703,street
斌郎街道,107.472941,31.126079,达川区,511703,street
幺塘乡,107.388179,31.192129,达川区,511703,street
龙会乡,107.198256,31.151303,达川区,511703,street
翠屏街道,107.507088,31.197226,达川区,511703,street
大堰镇,107.351869,31.273860,达川区,511703,street
安仁乡,107.747630,31.012719,达川区,511703,street
河市镇,107.370112,31.148691,达川区,511703,street
亭子镇,107.639932,31.128351,达川区,511703,street
双庙镇,107.394500,31.008869,达川区,511703,street
百节镇,107.376132,31.010487,达川区,511703,street
石梯镇,107.143695,31.215195,达川区,511703,street
金垭镇,107.401392,31.091381,达川区,511703,street
赵家镇,107.470720,30.942147,达川区,511703,street
渡市镇,107.229441,31.046865,达川区,511703,street
罐子镇,107.223270,31.099028,达川区,511703,street
管村镇,107.196022,31.180678,达川区,511703,street
南岳镇,107.536289,30.848212,达川区,511703,street
石桥镇,107.011603,31.286463,达川区,511703,street
万家镇,107.741395,30.924921,达川区,511703,street
麻柳镇,107.790681,30.986817,达川区,511703,street
明月江街道,107.549013,31.169765,达川区,511703,street
大树镇,107.685827,30.901056,达川区,511703,street
东岳镇,107.471600,31.296635,通川区,511702,street
江陵镇,107.251635,31.453660,通川区,511702,street
金石镇,107.372375,31.432951,通川区,511702,street
东城街道,107.499935,31.222107,通川区,511702,street
碑庙镇,107.411557,31.518988,通川区,511702,street
复兴镇,107.403283,31.257056,通川区,511702,street
北山镇,107.348509,31.451259,通川区,511702,street
青宁镇,107.398466,31.496351,通川区,511702,street
朝阳街道,107.455468,31.205827,通川区,511702,street
梓桐镇,107.361956,31.543329,通川区,511702,street
磐石镇,107.631507,31.258912,通川区,511702,street
安云乡,107.501977,31.504255,通川区,511702,street
凤北街道,107.477436,31.261431,通川区,511702,street
蒲家镇,107.547353,31.409537,通川区,511702,street
罗江镇,107.500441,31.338282,通川区,511702,street
双龙镇,107.450972,31.324984,通川区,511702,street
凤西街道,107.456871,31.193058,通川区,511702,street
西城街道,107.476938,31.258759,通川区,511702,street
石窝镇,107.611436,31.862798,万源市,511781,street
井溪镇,108.260458,31.790841,万源市,511781,street
紫溪乡,108.191304,32.224525,万源市,511781,street
曾家乡,107.738978,31.799787,万源市,511781,street
旧院镇,108.174795,31.889849,万源市,511781,street
石塘镇,108.171203,31.925898,万源市,511781,street
魏家镇,107.633059,31.958677,万源市,511781,street
玉带乡,107.520002,31.888310,万源市,511781,street
鹰背镇,107.525421,31.726220,万源市,511781,street
沙滩镇,108.035435,31.932888,万源市,511781,street
铁矿镇,108.000820,31.806351,万源市,511781,street
青花镇,108.035435,31.932888,万源市,511781,street
长坝镇,107.923435,31.810209,万源市,511781,street
大沙镇,107.758154,31.895298,万源市,511781,street
黑宝山镇,107.762964,31.874455,万源市,511781,street
黄钟镇,107.872684,32.059846,万源市,511781,street
古东关街道,108.031565,32.103462,万源市,511781,street
官渡镇,108.098527,32.230594,万源市,511781,street
草坝镇,107.673091,32.014365,万源市,511781,street
河口镇,107.584579,31.719022,万源市,511781,street
固军镇,108.099619,31.772623,万源市,511781,street
永宁镇,107.961368,32.160868,万源市,511781,street
竹峪镇,107.704824,32.282938,万源市,511781,street
罗文镇,107.734337,31.697060,万源市,511781,street
太平镇,108.031565,32.105352,万源市,511781,street
白沙镇,108.313343,32.042662,万源市,511781,street
大竹镇,108.296194,32.243354,万源市,511781,street
八台镇,108.299783,31.911183,万源市,511781,street
白果镇,108.420901,32.063773,万源市,511781,street
庙子乡,108.449877,32.259243,万源市,511781,street
蜂桶乡,108.339388,31.865886,万源市,511781,street
永兴镇,107.947233,31.194086,开江县,511723,street
淙城街道,107.819349,31.052289,开江县,511723,street
普安镇,107.801235,31.183953,开江县,511723,street
新宁镇,107.885823,31.082860,开江县,511723,street
回龙镇,107.714148,31.126132,开江县,511723,street
广福镇,107.860032,30.856049,开江县,511723,street
讲治镇,108.050244,31.059954,开江县,511723,street
任市镇,107.718718,30.888026,开江县,511723,street
梅家乡,108.053025,31.144988,开江县,511723,street
长岭镇,107.916337,30.898478,开江县,511723,street
甘棠镇,107.799719,30.990069,开江县,511723,street
八庙镇,107.991913,30.910582,开江县,511723,street
灵岩镇,108.087468,31.208031,开江县,511723,street
桃花镇,107.872624,31.459932,宣汉县,511722,street
石铁乡,108.112667,31.758321,宣汉县,511722,street
华景镇,108.076974,31.596860,宣汉县,511722,street
毛坝镇,107.737922,31.676799,宣汉县,511722,street
大成镇,107.516191,31.453314,宣汉县,511722,street
黄石乡,107.875371,31.438550,宣汉县,511722,street
老君乡,107.809792,31.541425,宣汉县,511722,street
芭蕉镇,107.822098,31.235514,宣汉县,511722,street
五宝镇,108.043535,31.540841,宣汉县,511722,street
渡口土家族乡,108.268239,31.721199,宣汉县,511722,street
峰城镇,107.998618,31.564644,宣汉县,511722,street
下八镇,107.907644,31.382880,宣汉县,511722,street
厂溪镇,107.987113,31.715540,宣汉县,511722,street
清溪镇,107.790388,31.497566,宣汉县,511722,street
新华镇,107.991790,31.805872,宣汉县,511722,street
樊哙镇,108.148161,31.676626,宣汉县,511722,street
白马镇,108.045102,31.637117,宣汉县,511722,street
南坪镇,107.963857,31.634314,宣汉县,511722,street
普光镇,107.635486,31.445259,宣汉县,511722,street
黄金镇,107.879262,31.669252,宣汉县,511722,street
君塘镇,107.588605,31.331098,宣汉县,511722,street
东乡街道,107.677971,31.304358,宣汉县,511722,street
蒲江街道,107.595838,31.278808,宣汉县,511722,street
柏树镇,107.604225,31.174634,宣汉县,511722,street
庙安镇,107.631081,31.263319,宣汉县,511722,street
南坝镇,108.010921,31.484056,宣汉县,511722,street
红峰镇,107.657898,31.760839,宣汉县,511722,street
胡家镇,107.635640,31.616915,宣汉县,511722,street
天生镇,107.776045,31.223550,宣汉县,511722,street
马渡关镇,107.389199,31.522326,宣汉县,511722,street
塔河镇,108.181420,31.327661,宣汉县,511722,street
土黄镇,108.169064,31.539407,宣汉县,511722,street
上峡镇,108.096252,31.275792,宣汉县,511722,street
三墩土家族乡,108.390273,31.628578,宣汉县,511722,street
龙泉土家族乡,108.518649,31.726173,宣汉县,511722,street
漆树土家族乡,108.320727,31.502094,宣汉县,511722,street
茶河镇,108.204540,31.396001,宣汉县,511722,street
龙凤镇,106.741087,30.954253,渠县,511725,street
报恩乡,107.122823,31.199350,渠县,511725,street
琅琊镇,106.989140,30.734051,渠县,511725,street
三板镇,106.941782,30.994602,渠县,511725,street
安北乡,107.052644,31.178438,渠县,511725,street
望溪镇,106.936250,30.689954,渠县,511725,street
拱市乡,106.732691,30.905624,渠县,511725,street
文崇镇,107.200176,31.204719,渠县,511725,street
定远镇,106.762515,30.788875,渠县,511725,street
卷硐镇,107.042425,30.768462,渠县,511725,street
丰乐镇,107.136510,31.080307,渠县,511725,street
李渡镇,106.923289,30.772738,渠县,511725,street
李馥镇,107.000152,31.005242,渠县,511725,street
鲜渡镇,106.903973,30.712416,渠县,511725,street
渠江街道,106.951341,30.862246,渠县,511725,street
青龙镇,106.925407,30.932964,渠县,511725,street
清溪场镇,106.794746,30.886687,渠县,511725,street
渠北镇,106.966929,30.871279,渠县,511725,street
东安镇,107.145252,30.914820,渠县,511725,street
涌兴镇,107.027363,31.150616,渠县,511725,street
天星街道,106.976478,30.837175,渠县,511725,street
三汇镇,107.176491,30.957365,渠县,511725,street
有庆镇,106.802866,30.793391,渠县,511725,street
万寿镇,106.925922,30.936646,渠县,511725,street
新市镇,106.678254,30.838094,渠县,511725,street
渠南街道,106.936140,30.825430,渠县,511725,street
合力镇,107.001472,30.812403,渠县,511725,street
宝城镇,106.731619,30.825660,渠县,511725,street
中滩镇,106.934232,30.839971,渠县,511725,street
