起始乡镇,起始经度,起始纬度,终止乡镇,终止经度,终止纬度,距离(km)
达州市烟草专卖局,107.520835,31.199073,翠屏街道,107.507088,31.197226,1.78
达州市烟草专卖局,107.520835,31.199073,三里坪街道,107.506076,31.202494,1.86
达州市烟草专卖局,107.520835,31.199073,东城街道,107.499935,31.222107,4.67
达州市烟草专卖局,107.520835,31.199073,明月江街道,107.549013,31.169765,9.29
达州市烟草专卖局,107.520835,31.199073,凤西街道,107.456871,31.193058,7.57
古东关街道,108.031565,32.103462,太平镇,108.031565,32.105352,1.02
凤北街道,107.477436,31.261431,西城街道,107.476938,31.258759,0.25
团坝镇,107.224501,30.644776,川主乡,107.223300,30.641231,0.55
青龙镇,106.925407,30.932964,万寿镇,106.925922,30.936646,18.37
磐石镇,107.631507,31.258912,庙安镇,107.631081,31.263319,1.81
米城乡,107.285544,31.285385,赵固镇,107.293068,31.282913,0.74
铁矿镇,108.000820,31.806351,新华镇,107.991790,31.805872,0.09
麻柳镇,107.790681,30.986817,甘棠镇,107.799719,30.990069,6.65
朝阳乡,107.265401,30.758556,东柳街道,107.266208,30.745870,4.99
朝阳街道,107.455468,31.205827,凤西街道,107.456871,31.193058,2.59
双庙镇,107.394500,31.008869,百节镇,107.376132,31.010487,5.07
渠南街道,106.936140,30.825430,中滩镇,106.934232,30.839971,4.72
渠江街道,106.951341,30.862246,渠北镇,106.966929,30.871279,6.58
碑庙镇,107.411557,31.518988,马渡关镇,107.389199,31.522326,19.54
固军镇,108.099619,31.772623,石铁乡,108.112667,31.758321,14.90
平滩镇,107.475690,30.924986,赵家镇,107.470720,30.942147,11.36
乌木镇,107.288490,30.752639,东柳街道,107.266208,30.745870,12.07
竹阳街道,107.213109,30.745910,白塔街道,107.228118,30.761322,4.35
罗文镇,107.734337,31.697060,毛坝镇,107.737922,31.676799,7.05
大沙镇,107.758154,31.895298,黑宝山镇,107.762964,31.874455,9.16
桃花镇,107.872624,31.459932,黄石乡,107.875371,31.438550,9.60
石梯镇,107.143695,31.215195,报恩乡,107.122823,31.199350,3.69
管村镇,107.196022,31.180678,文崇镇,107.200176,31.204719,18.20
岩峰镇,106.994568,31.050532,土溪镇,107.002015,31.074277,6.74
碑庙镇,107.411557,31.518988,青宁镇,107.398466,31.496351,3.50
中华镇,107.106581,30.807546,临巴镇,107.121187,30.830836,19.25
渠江街道,106.951341,30.862246,中滩镇,106.934232,30.839971,10.09
金石镇,107.372375,31.432951,北山镇,107.348509,31.451259,5.84
石板街道,107.470535,31.099912,斌郎街道,107.472941,31.126079,9.30
周家镇,107.311967,30.688333,观音镇,107.342866,30.673865,7.13
大树镇,107.685827,30.901056,任市镇,107.718718,30.888026,8.57
朝阳乡,107.265401,30.758556,白塔街道,107.228118,30.761322,5.88
龙会乡,107.198256,31.151303,管村镇,107.196022,31.180678,8.03
梓桐镇,107.361956,31.543329,马渡关镇,107.389199,31.522326,10.46
景市镇,107.495955,30.964966,赵家镇,107.470720,30.942147,16.38
杨柳街道,107.527664,31.144501,明月江街道,107.549013,31.169765,8.07
杨家镇,107.172932,30.893177,东安镇,107.145252,30.914820,26.76
蒲江街道,107.595838,31.278808,庙安镇,107.631081,31.263319,20.16
定远镇,106.762515,30.788875,有庆镇,106.802866,30.793391,7.13
天星街道,106.976478,30.837175,合力镇,107.001472,30.812403,5.12
渠江街道,106.951341,30.862246,天星街道,106.976478,30.837175,11.34
东岳镇,107.471600,31.296635,双龙镇,107.450972,31.324984,9.93
望溪镇,106.936250,30.689954,鲜渡镇,106.903973,30.712416,5.76
安北乡,107.052644,31.178438,涌兴镇,107.027363,31.150616,11.10
杨通乡,107.255065,30.465968,石子镇,107.295943,30.449838,9.13
东岳镇,107.471600,31.296635,凤北街道,107.477436,31.261431,10.40
旧院镇,108.174795,31.889849,石塘镇,108.171203,31.925898,32.23
月华镇,107.260295,30.795165,朝阳乡,107.265401,30.758556,11.98
芭蕉镇,107.822098,31.235514,天生镇,107.776045,31.223550,12.18
安吉乡,107.542069,30.886804,南岳镇,107.536289,30.848212,11.53
罗江镇,107.500441,31.338282,双龙镇,107.450972,31.324984,15.89
万寿镇,106.925922,30.936646,望江乡,106.876041,30.949976,8.33
东城街道,107.499935,31.222107,西城街道,107.476938,31.258759,9.55
万家镇,107.741395,30.924921,任市镇,107.718718,30.888026,5.02
五宝镇,108.043535,31.540841,峰城镇,107.998618,31.564644,15.98
安仁乡,107.747630,31.012719,麻柳镇,107.790681,30.986817,9.93
童家镇,107.280719,30.570757,高明镇,107.333695,30.581714,9.79
文星镇,107.204254,30.524316,妈妈镇,107.212332,30.566398,7.90
明月江街道,107.549013,31.169765,柏树镇,107.604225,31.174634,18.43
新市镇,106.678254,30.838094,宝城镇,106.731619,30.825660,12.34
大堰镇,107.351869,31.273860,复兴镇,107.403283,31.257056,26.14
定远镇,106.762515,30.788875,宝城镇,106.731619,30.825660,9.60
普安镇,107.801235,31.183953,天生镇,107.776045,31.223550,20.08
石梯镇,107.143695,31.215195,文崇镇,107.200176,31.204719,10.09
李馥镇,107.000152,31.005242,岩峰镇,106.994568,31.050532,16.77
幺塘乡,107.388179,31.192129,河市镇,107.370112,31.148691,12.83
高穴镇,107.131577,30.601687,庙坝镇,107.113269,30.558128,12.08
杨柳街道,107.527664,31.144501,斌郎街道,107.472941,31.126079,19.95
鹰背镇,107.525421,31.726220,河口镇,107.584579,31.719022,12.29
赵固镇,107.293068,31.282913,大堰镇,107.351869,31.273860,15.64
三板镇,106.941782,30.994602,李馥镇,107.000152,31.005242,8.20
石桥镇,107.011603,31.286463,大义乡,106.980165,31.247321,14.87
老君乡,107.809792,31.541425,清溪镇,107.790388,31.497566,15.74
