起始乡镇,起始经度,起始纬度,终止乡镇,终止经度,终止纬度,距离(km)
达州市烟草专卖局,107.520835,31.199073,四合镇,107.255518,30.404623,120.60
达州市烟草专卖局,107.520835,31.199073,清水镇,107.130434,30.677090,77.38
达州市烟草专卖局,107.520835,31.199073,乌木镇,107.267710,30.710460,73.53
达州市烟草专卖局,107.520835,31.199073,杨通乡,107.296836,30.467521,113.48
达州市烟草专卖局,107.520835,31.199073,柏林镇,107.247716,30.950120,62.45
达州市烟草专卖局,107.520835,31.199073,欧家镇,107.061555,30.516417,95.00
达州市烟草专卖局,107.520835,31.199073,月华镇,107.295600,30.801890,56.02
达州市烟草专卖局,107.520835,31.199073,团坝镇,107.261889,30.661494,80.22
达州市烟草专卖局,107.520835,31.199073,高穴镇,107.189827,30.608337,84.56
达州市烟草专卖局,107.520835,31.199073,朝阳乡,107.306799,30.758652,70.19
达州市烟草专卖局,107.520835,31.199073,童家镇,107.297040,30.536281,111.55
达州市烟草专卖局,107.520835,31.199073,竹阳街道,107.206351,30.733409,66.16
达州市烟草专卖局,107.520835,31.199073,中华镇,107.177017,30.769182,67.26
达州市烟草专卖局,107.520835,31.199073,白塔街道,107.203099,30.743503,64.13
达州市烟草专卖局,107.520835,31.199073,东柳街道,107.244201,30.739638,67.91
达州市烟草专卖局,107.520835,31.199073,杨家镇,107.227283,30.850127,56.82
达州市烟草专卖局,107.520835,31.199073,清河镇,107.236498,30.904850,58.45
达州市烟草专卖局,107.520835,31.199073,周家镇,107.363174,30.612327,96.40
达州市烟草专卖局,107.520835,31.199073,川主乡,107.192395,30.664378,77.69
达州市烟草专卖局,107.520835,31.199073,文星镇,107.249910,30.503279,105.17
达州市烟草专卖局,107.520835,31.199073,石河镇,107.329964,30.870872,46.60
达州市烟草专卖局,107.520835,31.199073,妈妈镇,107.148174,30.564627,91.72
达州市烟草专卖局,107.520835,31.199073,高明镇,107.347334,30.546790,105.83
达州市烟草专卖局,107.520835,31.199073,八渡乡,107.403385,30.579614,108.16
达州市烟草专卖局,107.520835,31.199073,永胜镇,107.457577,30.818119,74.97
达州市烟草专卖局,107.520835,31.199073,安吉乡,107.500726,30.907112,43.72
达州市烟草专卖局,107.520835,31.199073,石子镇,107.300758,30.436770,114.61
达州市烟草专卖局,107.520835,31.199073,天城镇,107.341415,30.499131,111.59
达州市烟草专卖局,107.520835,31.199073,观音镇,107.448256,30.673839,94.19
达州市烟草专卖局,107.520835,31.199073,石桥铺镇,107.437678,30.770228,72.35
达州市烟草专卖局,107.520835,31.199073,庙坝镇,107.102218,30.600076,86.04
达州市烟草专卖局,107.520835,31.199073,景市镇,107.552492,31.012362,30.85
达州市烟草专卖局,107.520835,31.199073,石板街道,107.474416,31.074802,16.31
达州市烟草专卖局,107.520835,31.199073,堡子镇,107.303139,31.344459,58.17
达州市烟草专卖局,107.520835,31.199073,虎让乡,107.209351,31.341803,69.94
达州市烟草专卖局,107.520835,31.199073,米城乡,107.332687,31.279995,39.31
达州市烟草专卖局,107.520835,31.199073,福善镇,107.584937,31.047483,24.43
达州市烟草专卖局,107.520835,31.199073,杨柳街道,107.505873,31.182242,3.02
达州市烟草专卖局,107.520835,31.199073,桥湾镇,107.202620,31.261140,47.05
达州市烟草专卖局,107.520835,31.199073,平滩镇,107.512259,30.933431,40.36
达州市烟草专卖局,107.520835,31.199073,赵固镇,107.280691,31.240285,38.13
达州市烟草专卖局,107.520835,31.199073,三里坪街道,107.513072,31.202235,1.38
达州市烟草专卖局,107.520835,31.199073,斌郎街道,107.494037,31.126448,11.04
达州市烟草专卖局,107.520835,31.199073,幺塘乡,107.394523,31.159552,17.09
达州市烟草专卖局,107.520835,31.199073,龙会乡,107.200011,31.125132,48.12
达州市烟草专卖局,107.520835,31.199073,翠屏街道,107.509301,31.189092,2.32
达州市烟草专卖局,107.520835,31.199073,大堰镇,107.332680,31.236690,29.63
达州市烟草专卖局,107.520835,31.199073,安仁乡,107.773843,31.031477,42.48
达州市烟草专卖局,107.520835,31.199073,河市镇,107.434248,31.141540,13.10
达州市烟草专卖局,107.520835,31.199073,亭子镇,107.596463,31.113260,15.74
达州市烟草专卖局,107.520835,31.199073,双庙镇,107.367131,30.984120,37.26
达州市烟草专卖局,107.520835,31.199073,百节镇,107.454102,31.023069,25.97
达州市烟草专卖局,107.520835,31.199073,石梯镇,107.160852,31.228216,50.98
达州市烟草专卖局,107.520835,31.199073,金垭镇,107.408369,31.083509,23.40
达州市烟草专卖局,107.520835,31.199073,赵家镇,107.416361,30.962931,30.90
达州市烟草专卖局,107.520835,31.199073,渡市镇,107.277676,31.059865,45.51
达州市烟草专卖局,107.520835,31.199073,罐子镇,107.301602,31.135825,33.08
达州市烟草专卖局,107.520835,31.199073,管村镇,107.311350,31.182932,29.39
达州市烟草专卖局,107.520835,31.199073,南岳镇,107.565093,30.874924,55.74
达州市烟草专卖局,107.520835,31.199073,石桥镇,107.118101,31.298319,62.07
达州市烟草专卖局,107.520835,31.199073,万家镇,107.623465,30.956475,45.51
达州市烟草专卖局,107.520835,31.199073,麻柳镇,107.695559,31.023875,30.58
达州市烟草专卖局,107.520835,31.199073,明月江街道,107.576751,31.164653,17.62
达州市烟草专卖局,107.520835,31.199073,大树镇,107.633019,30.903638,46.76
达州市烟草专卖局,107.520835,31.199073,东岳镇,107.487468,31.316087,25.16
达州市烟草专卖局,107.520835,31.199073,江陵镇,107.240246,31.408850,59.94
达州市烟草专卖局,107.520835,31.199073,金石镇,107.379460,31.402340,50.23
达州市烟草专卖局,107.520835,31.199073,东城街道,107.507925,31.212699,3.40
达州市烟草专卖局,107.520835,31.199073,碑庙镇,107.400196,31.473874,52.18
达州市烟草专卖局,107.520835,31.199073,复兴镇,107.431603,31.224379,16.09
达州市烟草专卖局,107.520835,31.199073,北山镇,107.304557,31.473063,53.74
达州市烟草专卖局,107.520835,31.199073,青宁镇,107.442087,31.496649,51.44
达州市烟草专卖局,107.520835,31.199073,朝阳街道,120.467130,41.596732,2020.63
达州市烟草专卖局,107.520835,31.199073,梓桐镇,107.361585,31.505554,57.14
达州市烟草专卖局,107.520835,31.199073,磐石镇,107.597372,31.230389,13.59
达州市烟草专卖局,107.520835,31.199073,安云乡,107.485657,31.469172,43.67
达州市烟草专卖局,107.520835,31.199073,凤北街道,107.513526,31.219509,3.73
达州市烟草专卖局,107.520835,31.199073,蒲家镇,107.520675,31.374130,27.27
达州市烟草专卖局,107.520835,31.199073,罗江镇,107.534480,31.305442,15.11
达州市烟草专卖局,107.520835,31.199073,双龙镇,107.449080,31.283549,20.15
达州市烟草专卖局,107.520835,31.199073,凤西街道,107.469723,31.203805,7.43
达州市烟草专卖局,107.520835,31.199073,西城街道,107.499373,31.215750,3.76
达州市烟草专卖局,107.520835,31.199073,石窝镇,107.663877,31.863900,120.34
达州市烟草专卖局,107.520835,31.199073,井溪镇,108.239650,31.765030,127.99
达州市烟草专卖局,107.520835,31.199073,紫溪乡,108.228872,32.207882,177.09
达州市烟草专卖局,107.520835,31.199073,曾家乡,107.772365,31.777984,92.42
达州市烟草专卖局,107.520835,31.199073,旧院镇,108.203667,31.843123,123.06
达州市烟草专卖局,107.520835,31.199073,石塘镇,108.123872,31.892337,108.85
达州市烟草专卖局,107.520835,31.199073,魏家镇,108.034393,32.081698,135.40
达州市烟草专卖局,107.520835,31.199073,玉带乡,107.588241,31.871638,132.71
达州市烟草专卖局,107.520835,31.199073,鹰背镇,107.538072,31.706761,108.21
达州市烟草专卖局,107.520835,31.199073,沙滩镇,108.053074,31.923269,121.37
达州市烟草专卖局,107.520835,31.199073,铁矿镇,108.034636,31.821572,95.97
达州市烟草专卖局,107.520835,31.199073,青花镇,108.004857,31.961972,123.40
达州市烟草专卖局,107.520835,31.199073,长坝镇,107.926515,31.865089,107.77
达州市烟草专卖局,107.520835,31.199073,大沙镇,107.719753,31.852877,112.86
达州市烟草专卖局,107.520835,31.199073,黑宝山镇,107.863524,31.897541,119.16
达州市烟草专卖局,107.520835,31.199073,黄钟镇,107.823998,32.000997,139.40
达州市烟草专卖局,107.520835,31.199073,古东关街道,108.039449,32.070051,133.74
达州市烟草专卖局,107.520835,31.199073,官渡镇,108.056460,32.153296,142.37
达州市烟草专卖局,107.520835,31.199073,草坝镇,107.662350,31.928679,128.86
达州市烟草专卖局,107.520835,31.199073,河口镇,107.688320,31.796817,106.92
达州市烟草专卖局,107.520835,31.199073,固军镇,108.137639,31.807122,105.74
达州市烟草专卖局,107.520835,31.199073,永宁镇,107.855873,32.167962,172.09
达州市烟草专卖局,107.520835,31.199073,竹峪镇,107.715612,32.195348,195.16
达州市烟草专卖局,107.520835,31.199073,罗文镇,107.814216,31.692531,79.91
达州市烟草专卖局,107.520835,31.199073,太平镇,108.038554,32.067511,134.07
达州市烟草专卖局,107.520835,31.199073,白沙镇,108.167091,31.967505,128.93
达州市烟草专卖局,107.520835,31.199073,大竹镇,108.314721,32.163017,181.98
达州市烟草专卖局,107.520835,31.199073,八台镇,108.216720,31.929845,126.00
达州市烟草专卖局,107.520835,31.199073,白果镇,108.328804,32.108190,175.03
达州市烟草专卖局,107.520835,31.199073,庙子乡,108.371451,32.206860,193.84
达州市烟草专卖局,107.520835,31.199073,蜂桶乡,108.357750,31.822650,149.49
达州市烟草专卖局,107.520835,31.199073,永兴镇,107.885493,31.142111,50.21
达州市烟草专卖局,107.520835,31.199073,淙城街道,107.863437,31.088181,46.74
达州市烟草专卖局,107.520835,31.199073,普安镇,107.833680,31.098779,43.92
达州市烟草专卖局,107.520835,31.199073,新宁镇,107.869794,31.081393,50.08
达州市烟草专卖局,107.520835,31.199073,回龙镇,107.774496,31.173316,36.50
达州市烟草专卖局,107.520835,31.199073,广福镇,107.846239,30.861445,64.48
达州市烟草专卖局,107.520835,31.199073,讲治镇,107.950456,31.030836,59.77
达州市烟草专卖局,107.520835,31.199073,任市镇,107.788644,30.902817,55.65
达州市烟草专卖局,107.520835,31.199073,梅家乡,108.026146,31.140120,70.56
达州市烟草专卖局,107.520835,31.199073,长岭镇,107.882716,30.900595,73.84
达州市烟草专卖局,107.520835,31.199073,甘棠镇,107.869738,30.967549,65.48
达州市烟草专卖局,107.520835,31.199073,八庙镇,107.913785,30.918565,74.90
达州市烟草专卖局,107.520835,31.199073,灵岩镇,107.977251,31.196791,61.32
达州市烟草专卖局,107.520835,31.199073,桃花镇,107.955130,31.480754,81.74
达州市烟草专卖局,107.520835,31.199073,石铁乡,108.099267,31.751202,95.86
达州市烟草专卖局,107.520835,31.199073,华景镇,108.104058,31.561272,95.18
达州市烟草专卖局,107.520835,31.199073,毛坝镇,107.749180,31.615451,65.31
达州市烟草专卖局,107.520835,31.199073,大成镇,107.558691,31.424846,36.49
达州市烟草专卖局,107.520835,31.199073,黄石乡,107.892694,31.388198,53.85
达州市烟草专卖局,107.520835,31.199073,老君乡,107.850308,31.514216,71.02
达州市烟草专卖局,107.520835,31.199073,芭蕉镇,107.869323,31.284145,59.66
达州市烟草专卖局,107.520835,31.199073,五宝镇,108.062990,31.477050,81.62
达州市烟草专卖局,107.520835,31.199073,渡口土家族乡,108.285415,31.664513,120.85
达州市烟草专卖局,107.520835,31.199073,峰城镇,107.956094,31.481515,81.67
达州市烟草专卖局,107.520835,31.199073,下八镇,107.934038,31.355846,56.50
达州市烟草专卖局,107.520835,31.199073,厂溪镇,107.948272,31.686582,79.17
达州市烟草专卖局,107.520835,31.199073,清溪镇,107.792071,31.415139,45.10
达州市烟草专卖局,107.520835,31.199073,新华镇,107.994594,31.739576,86.08
达州市烟草专卖局,107.520835,31.199073,樊哙镇,108.246289,31.635397,117.46
达州市烟草专卖局,107.520835,31.199073,白马镇,108.098518,31.623465,108.05
达州市烟草专卖局,107.520835,31.199073,南坪镇,107.964139,31.602092,95.35
达州市烟草专卖局,107.520835,31.199073,普光镇,107.708737,31.504251,47.60
达州市烟草专卖局,107.520835,31.199073,黄金镇,107.849845,31.607142,72.72
达州市烟草专卖局,107.520835,31.199073,君塘镇,107.629225,31.339487,28.09
达州市烟草专卖局,107.520835,31.199073,东乡街道,107.725367,31.354246,32.81
达州市烟草专卖局,107.520835,31.199073,蒲江街道,107.711881,31.362787,32.74
达州市烟草专卖局,107.520835,31.199073,柏树镇,107.653829,31.163978,22.22
达州市烟草专卖局,107.520835,31.199073,庙安镇,107.638575,31.240653,21.90
达州市烟草专卖局,107.520835,31.199073,南坝镇,108.005914,31.358845,66.62
达州市烟草专卖局,107.520835,31.199073,红峰镇,107.626512,31.684639,87.22
达州市烟草专卖局,107.520835,31.199073,胡家镇,107.666285,31.560335,58.91
达州市烟草专卖局,107.520835,31.199073,天生镇,107.752983,31.257788,35.80
达州市烟草专卖局,107.520835,31.199073,马渡关镇,107.481080,31.595353,73.39
达州市烟草专卖局,107.520835,31.199073,塔河镇,108.074450,31.351670,74.31
达州市烟草专卖局,107.520835,31.199073,土黄镇,108.195121,31.586505,124.25
达州市烟草专卖局,107.520835,31.199073,上峡镇,108.024139,31.301981,76.66
达州市烟草专卖局,107.520835,31.199073,三墩土家族乡,108.313591,31.615585,126.57
达州市烟草专卖局,107.520835,31.199073,龙泉土家族乡,108.285415,31.664513,120.85
达州市烟草专卖局,107.520835,31.199073,漆树土家族乡,108.285415,31.664513,120.85
达州市烟草专卖局,107.520835,31.199073,茶河镇,108.062908,31.374234,74.34
达州市烟草专卖局,107.520835,31.199073,龙凤镇,106.755759,30.938577,116.70
达州市烟草专卖局,107.520835,31.199073,报恩乡,107.134144,31.187633,55.64
达州市烟草专卖局,107.520835,31.199073,琅琊镇,106.959459,30.695288,101.05
达州市烟草专卖局,107.520835,31.199073,三板镇,106.961374,30.996846,76.94
达州市烟草专卖局,107.520835,31.199073,安北乡,107.038724,31.148075,62.49
达州市烟草专卖局,107.520835,31.199073,望溪镇,106.944718,30.647351,107.54
达州市烟草专卖局,107.520835,31.199073,拱市乡,106.764047,30.873941,115.98
达州市烟草专卖局,107.520835,31.199073,文崇镇,107.166023,31.153671,43.58
达州市烟草专卖局,107.520835,31.199073,定远镇,106.791018,30.801988,107.49
达州市烟草专卖局,107.520835,31.199073,卷硐镇,107.053999,30.761592,89.55
达州市烟草专卖局,107.520835,31.199073,丰乐镇,107.136781,31.106844,59.69
达州市烟草专卖局,107.520835,31.199073,李渡镇,106.964716,30.777590,95.99
达州市烟草专卖局,107.520835,31.199073,李馥镇,107.012036,30.944996,96.40
达州市烟草专卖局,107.520835,31.199073,鲜渡镇,106.896503,30.758836,105.08
达州市烟草专卖局,107.520835,31.199073,渠江街道,109.027763,32.715397,280.28
达州市烟草专卖局,107.520835,31.199073,青龙镇,106.919092,30.888177,93.17
达州市烟草专卖局,107.520835,31.199073,清溪场镇,106.827981,30.892694,104.22
达州市烟草专卖局,107.520835,31.199073,渠北镇,121.777503,41.588657,2106.65
达州市烟草专卖局,107.520835,31.199073,东安镇,107.093745,30.960905,86.56
达州市烟草专卖局,107.520835,31.199073,涌兴镇,107.077411,31.124230,55.72
达州市烟草专卖局,107.520835,31.199073,天星街道,106.980606,30.835038,89.17
达州市烟草专卖局,107.520835,31.199073,三汇镇,107.138278,31.029661,64.86
达州市烟草专卖局,107.520835,31.199073,有庆镇,106.838522,30.804417,102.72
达州市烟草专卖局,107.520835,31.199073,万寿镇,106.941963,30.928914,93.59
达州市烟草专卖局,107.520835,31.199073,新市镇,106.697042,30.845795,118.46
达州市烟草专卖局,107.520835,31.199073,渠南街道,106.965317,30.832584,89.07
达州市烟草专卖局,107.520835,31.199073,合力镇,107.010545,30.761962,92.52
达州市烟草专卖局,107.520835,31.199073,宝城镇,106.765051,30.838877,111.35
达州市烟草专卖局,107.520835,31.199073,中滩镇,106.893713,30.795220,97.23
达州市烟草专卖局,107.520835,31.199073,岩峰镇,106.971995,31.057825,70.03
达州市烟草专卖局,107.520835,31.199073,静边镇,106.838272,31.010407,102.70
达州市烟草专卖局,107.520835,31.199073,土溪镇,107.054012,31.016189,65.36
达州市烟草专卖局,107.520835,31.199073,临巴镇,107.063931,30.891699,77.47
达州市烟草专卖局,107.520835,31.199073,望江乡,106.875222,30.911220,98.72
达州市烟草专卖局,107.520835,31.199073,巨光乡,106.902698,31.027981,80.61
达州市烟草专卖局,107.520835,31.199073,大义乡,107.041824,31.194748,70.26
达州市烟草专卖局,107.520835,31.199073,贵福镇,106.985337,31.129490,64.67
四合镇,107.255518,30.404623,清水镇,107.130434,30.677090,53.35
四合镇,107.255518,30.404623,乌木镇,107.267710,30.710460,53.22
四合镇,107.255518,30.404623,杨通乡,107.296836,30.467521,11.09
四合镇,107.255518,30.404623,柏林镇,107.247716,30.950120,80.78
四合镇,107.255518,30.404623,欧家镇,107.061555,30.516417,54.91
四合镇,107.255518,30.404623,月华镇,107.295600,30.801890,66.34
四合镇,107.255518,30.404623,团坝镇,107.261889,30.661494,50.23
四合镇,107.255518,30.404623,高穴镇,107.189827,30.608337,36.22
四合镇,107.255518,30.404623,朝阳乡,107.306799,30.758652,56.08
四合镇,107.255518,30.404623,童家镇,107.297040,30.536281,21.37
四合镇,107.255518,30.404623,竹阳街道,107.206351,30.733409,53.93
